"Guid","Description","DisplayUrl","ExternalId","Family","IsActive","IsSerialized","Name","ProductCode","QuantityUnitOfMeasure","SBQQ__AssetAmendmentBehavior__c","SBQQ__AssetConversion__c","SBQQ__BatchQuantity__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__BlockPricingField__c","SBQQ__ChargeType__c","SBQQ__Component__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationEvent__c","SBQQ__ConfigurationFieldSet__c","SBQQ__ConfigurationFields__c","SBQQ__ConfigurationFormTitle__c","SBQQ__ConfigurationType__c","SBQQ__ConfigurationValidator__c","SBQQ__ConfiguredCodePattern__c","SBQQ__ConfiguredDescriptionPattern__c","SBQQ__CostEditable__c","SBQQ__CostSchedule__c","SBQQ__CustomConfigurationPage__c","SBQQ__CustomConfigurationRequired__c","SBQQ__CustomerCommunityAvailability__c","SBQQ__DefaultPricingTable__c","SBQQ__DefaultQuantity__c","SBQQ__DescriptionLocked__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicPricingConstraint__c","SBQQ__EnableLargeConfiguration__c","SBQQ__ExcludeFromMaintenance__c","SBQQ__ExcludeFromOpportunity__c","SBQQ__ExternallyConfigurable__c","SBQQ__GenerateContractedPrice__c","SBQQ__HasConfigurationAttributes__c","SBQQ__HasConsumptionSchedule__c","SBQQ__Hidden__c","SBQQ__HidePriceInSearchResults__c","SBQQ__IncludeInMaintenance__c","SBQQ__NewQuoteGroup__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__OptionLayout__c","SBQQ__OptionSelectionMethod__c","SBQQ__Optional__c","SBQQ__PriceEditable__c","SBQQ__PricingGuidance__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__ProductPictureID__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__ReconfigurationDisabled__c","SBQQ__RenewalProduct__c","SBQQ__SortOrder__c","SBQQ__Specifications__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionTarget__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__TaxCode__c","SBQQ__Taxable__c","SBQQ__TermDiscountLevel__c","SBQQ__TermDiscountSchedule__c","SBQQ__UpgradeCredit__c","SBQQ__UpgradeRatio__c","SBQQ__UpgradeSource__c","SBQQ__UpgradeTarget__c","StockKeepingUnit","Type"
05fb5e9d-38c2-42de-b4fd-78ca0471203d,Regular cleaning & preventative maintenance to keep your equipment operating optimally.- Recurring,"#N/A","#N/A",SRV,false,false,Monthly Maintance Plan,SRV-R-2,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
07285f7b-ade8-4a93-b77a-febfefad7c3f,"#N/A","#N/A","#N/A","#N/A",true,false,Coffee Starter Bundle,CSB-B,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A",Always,"#N/A","#N/A","#N/A",Required,"#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
07b0e491-80eb-4648-8d1e-eee816ee634e,9 Gallon Bag in Box Syrup- Recurring,"#N/A","#N/A",BEV,false,false,Go-Live Grape Syrup,POP-R-5,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
085974cf-ec4d-4e49-abe6-c3a157400a84,5 Gallon Bag in Box Syrup- Recurring,"#N/A","#N/A",BEV,false,false,Prodly Cola Syrup,POP-R-1,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
08a3eb72-3a31-4dd3-8b96-6f0090ed9f47,11 Gallon Bag in Box Syrup- One time,"#N/A","#N/A",BEV,false,false,Release Root Beer Syrup,POP-OT-7,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0d431148-8382-445f-af7a-61aa7e01b1b3,1 24-count Box of K-Cups Pods- Recurring,"#N/A","#N/A",BEV,false,false,Pumpkin Sandbox Latte,COF-R-3,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0dee7454-4807-46b4-8d07-9deb99192051,A high capacity coffee maker designed for continuous use with direct water line plumbing.,"#N/A","#N/A",EQP,false,false,Keurig® K-2500® Plumbed Commercial Coffee Maker,EQP-OT-5,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
112f790f-fb6e-410e-b1ae-7a6d290b6893,8 24-count Boxes of our best selling blends.- Recurring,"#N/A","#N/A",BEV,false,false,Best Sellers Varieties Curated Collection,COF-R-1,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
11483e5f-9852-40c8-b012-c119b0ffcb08,Data Center Security Firewall,"#N/A","#N/A",Network,true,false,Data Center Security Firewall,N4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",100.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A","#N/A",false,false,"#N/A",false,"#N/A",015Hp000005WmqA,true,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
11ebda21-8ef9-42c6-83cb-c088b3d924c9,Toshiba Chromebook 2,"#N/A","#N/A",Professional Services,true,false,Basic Consulting Plan,LT-TOSH,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,015Hp000005Wmq7,true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
12f9c14b-5b73-437e-b38c-2cfb148144b0,Secure Event Manager,"#N/A","#N/A",Security Management,true,false,Secure Event Manager,SM2,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",10.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,015Hp000005Wmq5,true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
13d2957a-5ace-4727-af9f-75e4ef25bdc3,Secure Endpoint Compliance Manager,"#N/A","#N/A",Security Management,true,false,Secure Endpoint Compliance Manager,SM3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",5.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A","#N/A",false,false,"#N/A",false,"#N/A",015Hp000005WmqD,true,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
13edf563-8cf1-4e38-90b9-d0657527ea7e,1 24-count Box of K-Cups Pods- One time,"#N/A","#N/A",BEV,false,false,Uptime Espresso,COF-OT-6,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
14d4dab9-a701-4bda-8201-08629a46a0f1,8 24-count Boxes of our best selling blends.- One time,"#N/A","#N/A",BEV,false,false,Best Sellers Varieties Curated Collection,COF-OT-1,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
18e051d8-0cef-4929-b362-25a5e21a9ff1,Vulnerability Testing: Omega,"#N/A","#N/A",Professional Services,true,false,Vulnerability Testing: Omega,VT1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A","#N/A",false,false,"#N/A",false,"#N/A",015Hp000005WmqC,true,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
18f1c0eb-6326-419b-bf8d-c7e82be1b1c2,"Consists of 10 lines bundled together
Each line is 3/8"" in diameter
Roll contains 100' of bundled tubing","#N/A","#N/A",EQP,false,false,100' Roll of 10 Line Bundled Tubing,EQP-OT-3,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A","#N/A","#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
190ab832-50e9-4ca2-aadb-f3c327ef5c03,1 24-count Box of K-Cups Pods- Recurring,"#N/A","#N/A",BEV,false,false,Uptime Espresso,COF-R-6,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1ceea831-6904-4a1e-97a5-ca1148935f29,1 24-count Box of K-Cups Pods- Recurring,"#N/A","#N/A",BEV,false,false,Declarative Decaf,COF-R-2,"#N/A",Default,One per quote line,"#N/A","#N/A","#N/A",Quantity,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",1.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A",Click,false,false,"#N/A",false,List,"#N/A",true,"#N/A",false,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,"#N/A",1.0,Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1ec50e01-e143-417e-b6d4-857d60e0909a,Personal Security Firewall,"#N/A","#N/A",Network,true,false,Personal Security Firewall,N1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A",5.0,false,"#N/A","#N/A",false,false,false,false,"#N/A",false,false,false,false,false,false,false,false,"#N/A","#N/A",false,false,"#N/A",false,"#N/A",015Hp000005WmqA,true,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
